id,lat,lng,text,timeStamp,user_id,mb_cluster,db_cluster,cluster
379813385811935232,38.0040201,-121.77903233,@B_Curri Lmao thanks dude,2013-09-17 03:45:42,560567448,2,13.0,2.13
379813564623511552,38.0040201,-121.77903233,Honestly best birthday I've ever had .,2013-09-17 03:46:25,560567448,2,13.0,2.13
379813886137880576,38.0040201,-121.77903233,Is drakes new album really that good?,2013-09-17 03:47:41,560567448,2,13.0,2.13
379814096180240384,38.0040201,-121.77903233,@ThatNiggaNoodle lol thank you,2013-09-17 03:48:31,560567448,2,13.0,2.13
379817821825273857,38.00397581,-121.77911963,@Sam_is_G hmm I'm gonna check it out,2013-09-17 04:03:20,560567448,2,13.0,2.13
379817859775361024,38.00406009,-121.7792016,@ThatNiggaNoodle lol,2013-09-17 04:03:29,560567448,2,13.0,2.13
379818045717233665,38.00406009,-121.7792016,"@SheilaTabakovic Thanks sheila , yours is in 4 days I believe lol",2013-09-17 04:04:13,560567448,2,13.0,2.13
379818113564295168,38.00406009,-121.7792016,@Annnnngella_ Thank you (:,2013-09-17 04:04:29,560567448,2,13.0,2.13
379818621460951041,38.00406009,-121.7792016,@x0nicole_ Wtf,2013-09-17 04:06:30,560567448,2,13.0,2.13
379819434090569728,38.00404641,-121.77917884,"@SheilaTabakovic lol I yes I have a good memory, I'll buy you basic white girl starbucks if I wake up early enough lol",2013-09-17 04:09:44,560567448,2,13.0,2.13
379819718720233472,38.00404641,-121.77917884,@SheilaTabakovic I know -. Lol,2013-09-17 04:10:52,560567448,2,13.0,2.13
379820282556321792,38.00404641,-121.77917884,@SheilaTabakovic  you made that promise when I was like 13 or 14 and I turned 16 today .. lolol,2013-09-17 04:13:06,560567448,2,13.0,2.13
379820630276702209,38.00405215,-121.77917524,@jonharrisonsb Thanks dude (:,2013-09-17 04:14:29,560567448,2,13.0,2.13
379821822415355904,38.00405215,-121.77917524,@SheilaTabakovic still a long time ago .. lol,2013-09-17 04:19:13,560567448,2,13.0,2.13
379821911909232641,38.00405052,-121.77917555,@DianaaPerezz Thank you (:,2013-09-17 04:19:35,560567448,2,13.0,2.13
379824927760592896,38.00405224,-121.77917256,Just think of all the innocent virtual people that are going to lose their lifes tomorrow.. please take a moment of silence ..,2013-09-17 04:31:34,560567448,2,13.0,2.13
379825477201842176,38.00405224,-121.77917256,@anaxcobian Thank you imanacobian (:,2013-09-17 04:33:45,560567448,2,13.0,2.13
379826014349570049,38.00405224,-121.77917256,@suphoesss Personification .,2013-09-17 04:35:53,560567448,2,13.0,2.13
380546681382506496,38.0041473,-121.7791898,@joselinerodrig4 lol bruh I said we should go to the park and okay,2013-09-19 04:19:33,560567448,2,13.0,2.13
380708106327453696,38.0040587,-121.7791842,@0scvr__ what the fuck.,2013-09-19 15:01:00,560567448,2,13.0,2.13
380893693156159488,38.0040578,-121.7791448,@maineydelaneexD lol they were my shit back in 6th grade lol,2013-09-20 03:18:27,560567448,2,13.0,2.13
380894373463871488,38.0040578,-121.7791448,@maineydelaneexD idk lol don't fuck w/ that shit anymore lol gives me headaches with all their negative screaming,2013-09-20 03:21:09,560567448,2,13.0,2.13
380894694927908864,38.0041054,-121.7792006,Ms. Chaffins really killing me with all this factoid shit,2013-09-20 03:22:26,560567448,2,13.0,2.13
382708013754101760,38.00412297,-121.77915572,To who ever stole from my girlfriends purse. You better pray to god I don't fucking find you.,2013-09-25 03:27:55,560567448,2,13.0,2.13
382708784046407680,38.00412297,-121.77915572,Male/female idgaf I find out you went went throught my girls private property I'm not only gonna hurt you I'm gonna ruin your fucking life,2013-09-25 03:30:59,560567448,2,13.0,2.13
382709825777328129,38.00404663,-121.77910712,@RaquelReynoso either her 6 or 7th period someone went through her purse .,2013-09-25 03:35:07,560567448,2,13.0,2.13
383084711980982272,38.0040749,-121.7792009,But .. what you niggas don't know is that I'm secretly hood af,2013-09-26 04:24:47,560567448,2,13.0,2.13
383109261301014528,38.0040556,-121.7791666,@0scvr__Jan 9th,2013-09-26 06:02:20,560567448,2,13.0,2.13
383109498371465216,38.0040556,-121.7791666,@0scvr__ 7th,2013-09-26 06:03:16,560567448,2,13.0,2.13
383110075025330177,38.0040804,-121.7791702,@0scvr__ 12th,2013-09-26 06:05:34,560567448,2,13.0,2.13
383112199574528000,38.0041178,-121.779185,@0scvr__ 15th,2013-09-26 06:14:00,560567448,2,13.0,2.13
383113051794178048,38.0041178,-121.779185,@0scvr__ that was my next guess lol,2013-09-26 06:17:24,560567448,2,13.0,2.13
383118803539746816,38.00363024,-121.780395,@uhhMAYSing is the second draft due tomorrow ?,2013-09-26 06:40:15,461852265,2,13.0,2.13
383120229494038528,38.0036521,-121.7804399,"Country straightens my emotions out. Man I didn't give a fuck about a guy until now, I'm such a wuss",2013-09-26 06:45:55,461852265,2,13.0,2.13
383121112646688768,38.00363134,-121.78043437,His baby blues has my heart pumping like a pre-heart attack lmao,2013-09-26 06:49:25,461852265,2,13.0,2.13
383122592250347520,38.00363367,-121.7804405,@JanetVEE_  got tired of my tweets lol am I popular yet?,2013-09-26 06:55:18,461852265,2,13.0,2.13
383123013371056128,38.0036315,-121.78043437,Faaack I wanna but all the miss mc jeans at tillys #brokelife,2013-09-26 06:56:59,461852265,2,13.0,2.13
383123870732926976,38.00363375,-121.78043997,Can't take this beer gettin any colder...come over,2013-09-26 07:00:23,461852265,2,13.0,2.13
383124678941765632,38.00363402,-121.78045245,"Money was scarce, dreams were dust, and we were uuuuss",2013-09-26 07:03:36,461852265,2,13.0,2.13
383129208597118976,38.00363644,-121.78044298,Take me mud sliding and catch me a catfish so I know it's real,2013-09-26 07:21:36,461852265,2,13.0,2.13
383130145239732225,38.00363573,-121.78044563,"I got that real good feel good stuff, up under the seat of my big black jacked up truck, Rollin on 35's, pretty girl by my side",2013-09-26 07:25:19,461852265,2,13.0,2.13
